,AccélérationX,AccélérationY,AccélérationZ,GyroX,GyroY,GyroZ,Température,GForce
7,-2.857887255055273,-0.8332173784289753,6.381131367547194,4.322698367323752,-10.654240364280966,-6.662176193082222,27.02,2.6
3,-1.2826988268057558,-2.6668285717552846,4.466510882248014,8.921874880616166,-24.760712752076333,-2.232507490851629,27.07,1.28
4,6.132648071110617,-0.13920918474883592,19.54802253734266,-1.1914349110714157,-19.450231759394622,-0.29472657817750414,27.12,1.9
2,3.4780431611536655,-0.3068364594623178,14.1907990076215,-1.7164079716216871,6.8312280040769515,2.441499885556354,27.07,0.84
3,-1.4416152228600863,-2.4360744913593635,4.213844657426072,7.139713277481419,-24.96126315022219,-2.45355535705016,27.07,1.28
2,3.7139734596182072,-0.3804189504902634,14.736713206791537,-1.1016940841790128,8.32044271888966,3.349494562269089,27.07,0.84
5,-1.1034216125471465,0.27712281064287236,11.570930191432227,1.0590331781015934,10.192664903191984,-0.11180813362194841,27.02,0.99
7,-3.0651889013858247,-1.0014424732166893,6.428107316012758,4.604368387371134,-10.115788940109471,-5.9557334640672694,27.02,2.6
3,-1.600613352630697,-2.4041944176144936,3.851422921508621,6.839211416555617,-24.2927214235185,-2.27089409422505,27.07,1.28
7,-2.5202924614863367,-1.243836716725151,5.755792309241407,4.459506031860656,-9.899404350074498,-5.984197252947004,27.02,2.6
2,3.7638024775345884,0.17207114652990996,14.18176289008663,-2.231054686502607,7.772272026407339,3.5671850417858395,27.07,0.84
5,-0.5460039999773287,-0.3752004718537362,11.433371426603216,1.8478622539581329,11.011711588786103,-0.20918147302300005,27.02,0.99
4,0.0,0.0,0.0,0.0,0.0,0.0,27.12,3.803684504497489
7,-2.801757549472349,-1.4892871142272877,6.014114040351496,4.408077500112476,-9.466138930588631,-6.24258904660261,27.02,2.6
7,-3.445545100131862,-0.2060258764324392,6.205129445528573,5.500619042257161,-9.594625564867112,-5.56480073522711,27.02,2.6
9,0.41184773655375506,-1.515264362124874,7.423589329559655,-0.44067565511551754,18.82867558481517,1.1114035748024877,27.17,0.65
0,0.5122357141735098,2.761098938206009,15.663230845724785,-6.661164146907281,34.608936188010695,-0.07986051014314632,27.07,1.66
9,-0.5159383703848589,-1.4694448750133706,7.797751881789475,-1.7393192242392561,19.37519417596083,0.46038146250522366,27.17,0.65
8,6.579711641859224,-1.4571060481478,18.915411849266413,-1.2947859367135588,0.6066576137310805,-2.4175470430930943,26.98,2.25
9,-1.5946523615263721,-1.3925463912149811,6.934419019567598,-1.0704594540332577,19.542744184069726,1.317630798834371,27.17,0.65
1,4.197287645358519,-0.37890554331418147,14.445692371606855,86.66804111079534,83.91049202547337,44.69603904426415,27.12,0.47868184009531894
